# post-release run
# driver:    1.0.0.0 qemu, 156784 B, sha256 2024bdd751dbf202
# image:     vm\fresh-2b.img, stamp base-1.0.0.0-qemu, from win2k.img phase2b-clean
# qemu:      11.0.0 (v11.0.0-12122-ga4bb4b10c9), accel tcg
# offsets:   SIZEOF 90924, 383 counters
# started:   2026-08-30 14:51:11, elapsed 1:16:07
# verdict:   2b-fresh PASS, 17 rows, 6 NODRIVER expected, 0 not reached
#
# Outcomes: PASS FAIL NODRIVER INERT ERROR EXCLUDED - see docs/contributing/design/06-device-matrix-verdict.md
# A '-> X' in the outcome column marks the expectation that did not hold.
# A row name ending in '/replug' is the same device attached a second time - design record 09 section 5.
#
TARGET ROW                          OUTCOME   EXPECTATION                                                    READING
2b-fresh usb-uas/fs/replug            NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh usb-uas/fs/replug            NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-uas/fs/replug            NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh usb-uas/fs/replug            NODRIVER  zero interrupt mask failures                                   0
2b-fresh usb-uas/fs/replug            NODRIVER  zero commands the engine gave up on                            0
2b-fresh usb-uas/fs/replug            NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh usb-uas/fs/replug            -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh usb-uas/fs                   NODRIVER  (no class driver expected on this target)                      measured NODRIVER on both legs of the first post-release run (2026-08-30, fresh Windows 2000 SP4 guest): the adapter is addressed, Windows raises a Found New Hardware wizard and has no UAS class driver to offer; the wizard does not block enumeration on Windows 2000
2b-fresh usb-hub/fs                   PASS      advance devices addressed                                      +1
2b-fresh usb-hub/fs                   PASS      advance slots enabled                                          +1
2b-fresh usb-hub/fs                   PASS      zero fatal controller status                                   0
2b-fresh usb-hub/fs                   PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-hub/fs                   PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-hub/fs                   PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-hub/fs                   PASS      zero interrupt mask failures                                   0
2b-fresh usb-hub/fs                   PASS      zero commands the engine gave up on                            0
2b-fresh usb-hub/fs                   PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-hub/fs                   PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-hub/fs                   PASS      advance topology: hub descriptors folded                       +1
2b-fresh usb-hub/fs                   PASS      advance topology: hub slots marked                             +1
2b-fresh usb-hub/fs                   PASS      zero topology: hub descriptors malformed                       0
2b-fresh usb-hub/fs                   PASS      zero topology: nodes dropped                                   0
2b-fresh usb-hub/fs                   PASS      zero topology: behind-hub refused - no record                  0
2b-fresh usb-hub/fs/replug            PASS      advance devices addressed                                      +1
2b-fresh usb-hub/fs/replug            PASS      advance slots enabled                                          +1
2b-fresh usb-hub/fs/replug            PASS      zero fatal controller status                                   0
2b-fresh usb-hub/fs/replug            PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-hub/fs/replug            PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-hub/fs/replug            PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-hub/fs/replug            PASS      zero interrupt mask failures                                   0
2b-fresh usb-hub/fs/replug            PASS      zero commands the engine gave up on                            0
2b-fresh usb-hub/fs/replug            PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-hub/fs/replug            PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-hub/fs/replug            PASS      advance topology: hub descriptors folded                       +1
2b-fresh usb-hub/fs/replug            PASS      advance topology: hub slots marked                             +1
2b-fresh usb-hub/fs/replug            PASS      zero topology: hub descriptors malformed                       0
2b-fresh usb-hub/fs/replug            PASS      zero topology: nodes dropped                                   0
2b-fresh usb-hub/fs/replug            PASS      zero topology: behind-hub refused - no record                  0
2b-fresh usb-hub/churn                PASS      advance devices addressed                                      +11
2b-fresh usb-hub/churn                PASS      advance slots enabled                                          +11
2b-fresh usb-hub/churn                PASS      zero fatal controller status                                   0
2b-fresh usb-hub/churn                PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-hub/churn                PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-hub/churn                PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-hub/churn                PASS      zero interrupt mask failures                                   0
2b-fresh usb-hub/churn                PASS      zero commands the engine gave up on                            0
2b-fresh usb-hub/churn                PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 33 == 33
2b-fresh usb-hub/churn                PASS      advance topology: TT pairs disagreeing with usbport >= 10      +10
2b-fresh usb-hub/churn                PASS      advance topology: hub descriptors folded >= 2                  +6
2b-fresh usb-hub/churn                PASS      advance topology: behind-hub opens >= 2                        +10
2b-fresh usb-hub/churn                PASS      advance topology: behind-hub devices addressed >= 2            +10
2b-fresh usb-hub/churn                PASS      zero topology: hub descriptors malformed                       0
2b-fresh usb-hub/churn                PASS      zero topology: nodes dropped                                   0
2b-fresh usb-hub/churn                PASS      zero topology: behind-hub refused - no record                  0
2b-fresh usb-hub/churn                PASS      zero topology: behind-hub refused - too deep                   0
2b-fresh usb-hub/churn/replug         PASS      advance devices addressed                                      +11
2b-fresh usb-hub/churn/replug         PASS      advance slots enabled                                          +11
