# post-release run
# driver:    1.0.0.0 qemu, 156784 B, sha256 2024bdd751dbf202
# image:     vm\fresh-2b.img, stamp base-1.0.0.0-qemu, from win2k.img phase2b-clean
# qemu:      11.0.0 (v11.0.0-12122-ga4bb4b10c9), accel tcg
# offsets:   SIZEOF 90924, 383 counters
# started:   2026-08-30 14:51:11, elapsed 1:16:07
# verdict:   2b-fresh PASS, 17 rows, 6 NODRIVER expected, 0 not reached
#
# Outcomes: PASS FAIL NODRIVER INERT ERROR EXCLUDED - see docs/contributing/design/06-device-matrix-verdict.md
# A '-> X' in the outcome column marks the expectation that did not hold.
# A row name ending in '/replug' is the same device attached a second time - design record 09 section 5.
#
TARGET ROW                          OUTCOME   EXPECTATION                                                    READING
2b-fresh usb-mouse/hs/replug          PASS      zero interrupt mask failures                                   0
2b-fresh usb-mouse/hs/replug          PASS      zero commands the engine gave up on                            0
2b-fresh usb-mouse/hs/replug          PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-mouse/hs/replug          PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-mouse/hs                 PASS      (ExpectNoDriver entry did not apply)                           the row reached PASS; correct the entry: measured NODRIVER on the carried-along 2b image (a second usb-mouse beside the keep-alive); a fresh SP4 has no class driver that image lacked
2b-fresh usb-mouse/fs                 PASS      advance devices addressed                                      +1
2b-fresh usb-mouse/fs                 PASS      advance slots enabled                                          +1
2b-fresh usb-mouse/fs                 PASS      zero fatal controller status                                   0
2b-fresh usb-mouse/fs                 PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-mouse/fs                 PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-mouse/fs                 PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-mouse/fs                 PASS      zero interrupt mask failures                                   0
2b-fresh usb-mouse/fs                 PASS      zero commands the engine gave up on                            0
2b-fresh usb-mouse/fs                 PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-mouse/fs                 PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-mouse/fs                 PASS      advance endpoint speed mismatches                              +1
2b-fresh usb-mouse/fs/replug          PASS      advance devices addressed                                      +1
2b-fresh usb-mouse/fs/replug          PASS      advance slots enabled                                          +1
2b-fresh usb-mouse/fs/replug          PASS      zero fatal controller status                                   0
2b-fresh usb-mouse/fs/replug          PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-mouse/fs/replug          PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-mouse/fs/replug          PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-mouse/fs/replug          PASS      zero interrupt mask failures                                   0
2b-fresh usb-mouse/fs/replug          PASS      zero commands the engine gave up on                            0
2b-fresh usb-mouse/fs/replug          PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-mouse/fs/replug          PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-mouse/fs/replug          PASS      advance endpoint speed mismatches                              +1
2b-fresh usb-mouse/fs                 PASS      (ExpectNoDriver entry did not apply)                           the row reached PASS; correct the entry: measured NODRIVER on the carried-along 2b image (a second usb-mouse beside the keep-alive); a fresh SP4 has no class driver that image lacked
2b-fresh usb-tablet/hs                PASS      advance devices addressed                                      +1
2b-fresh usb-tablet/hs                PASS      advance slots enabled                                          +1
2b-fresh usb-tablet/hs                PASS      zero fatal controller status                                   0
2b-fresh usb-tablet/hs                PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-tablet/hs                PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-tablet/hs                PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-tablet/hs                PASS      zero interrupt mask failures                                   0
2b-fresh usb-tablet/hs                PASS      zero commands the engine gave up on                            0
2b-fresh usb-tablet/hs                PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-tablet/hs                PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-tablet/hs/replug         PASS      advance devices addressed                                      +1
2b-fresh usb-tablet/hs/replug         PASS      advance slots enabled                                          +1
2b-fresh usb-tablet/hs/replug         PASS      zero fatal controller status                                   0
2b-fresh usb-tablet/hs/replug         PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-tablet/hs/replug         PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-tablet/hs/replug         PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-tablet/hs/replug         PASS      zero interrupt mask failures                                   0
2b-fresh usb-tablet/hs/replug         PASS      zero commands the engine gave up on                            0
2b-fresh usb-tablet/hs/replug         PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-tablet/hs/replug         PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-wacom-tablet/fs          PASS      advance devices addressed                                      +1
2b-fresh usb-wacom-tablet/fs          PASS      advance slots enabled                                          +1
2b-fresh usb-wacom-tablet/fs          PASS      zero fatal controller status                                   0
2b-fresh usb-wacom-tablet/fs          PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-wacom-tablet/fs          PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-wacom-tablet/fs          PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-wacom-tablet/fs          PASS      zero interrupt mask failures                                   0
2b-fresh usb-wacom-tablet/fs          PASS      zero commands the engine gave up on                            0
2b-fresh usb-wacom-tablet/fs          PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-wacom-tablet/fs          PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-wacom-tablet/fs/replug   PASS      advance devices addressed                                      +1
2b-fresh usb-wacom-tablet/fs/replug   PASS      advance slots enabled                                          +1
2b-fresh usb-wacom-tablet/fs/replug   PASS      zero fatal controller status                                   0
2b-fresh usb-wacom-tablet/fs/replug   PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-wacom-tablet/fs/replug   PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-wacom-tablet/fs/replug   PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-wacom-tablet/fs/replug   PASS      zero interrupt mask failures                                   0
2b-fresh usb-wacom-tablet/fs/replug   PASS      zero commands the engine gave up on                            0
2b-fresh usb-wacom-tablet/fs/replug   PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-wacom-tablet/fs/replug   PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-wacom-tablet/fs          PASS      (ExpectNoDriver entry did not apply)                           the row reached PASS; correct the entry: measured NODRIVER on the carried-along 2b image; Windows 2000 SP4 ships no driver for a Wacom tablet
2b-fresh usb-storage/hs               PASS      advance devices addressed                                      +1
2b-fresh usb-storage/hs               PASS      advance slots enabled                                          +1
2b-fresh usb-storage/hs               PASS      zero fatal controller status                                   0
2b-fresh usb-storage/hs               PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-storage/hs               PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-storage/hs               PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-storage/hs               PASS      zero interrupt mask failures                                   0
2b-fresh usb-storage/hs               PASS      zero commands the engine gave up on                            0
2b-fresh usb-storage/hs               PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 6 == 6
2b-fresh usb-storage/hs               PASS      advance endpoints opened >= 2                                  +2
2b-fresh usb-storage/hs               PASS      identity transfers submitted == transfers completed + transfers cancelled 437 == 437
2b-fresh usb-storage/hs/replug        PASS      advance devices addressed                                      +1
2b-fresh usb-storage/hs/replug        PASS      advance slots enabled                                          +1
2b-fresh usb-storage/hs/replug        PASS      zero fatal controller status                                   0
2b-fresh usb-storage/hs/replug        PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-storage/hs/replug        PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-storage/hs/replug        PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-storage/hs/replug        PASS      zero interrupt mask failures                                   0
2b-fresh usb-storage/hs/replug        PASS      zero commands the engine gave up on                            0
2b-fresh usb-storage/hs/replug        PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 6 == 6
2b-fresh usb-storage/hs/replug        PASS      advance endpoints opened >= 2                                  +2
2b-fresh usb-storage/hs/replug        PASS      identity transfers submitted == transfers completed + transfers cancelled 165 == 165
2b-fresh usb-bot/fs                   PASS      advance devices addressed                                      +1
2b-fresh usb-bot/fs                   PASS      advance slots enabled                                          +1
2b-fresh usb-bot/fs                   PASS      zero fatal controller status                                   0
2b-fresh usb-bot/fs                   PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-bot/fs                   PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-bot/fs                   PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-bot/fs                   PASS      zero interrupt mask failures                                   0
2b-fresh usb-bot/fs                   PASS      zero commands the engine gave up on                            0
2b-fresh usb-bot/fs                   PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 6 == 6
2b-fresh usb-bot/fs                   PASS      advance endpoints opened >= 1                                  +2
2b-fresh usb-bot/fs/replug            PASS      advance devices addressed                                      +1
2b-fresh usb-bot/fs/replug            PASS      advance slots enabled                                          +1
2b-fresh usb-bot/fs/replug            PASS      zero fatal controller status                                   0
2b-fresh usb-bot/fs/replug            PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-bot/fs/replug            PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-bot/fs/replug            PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-bot/fs/replug            PASS      zero interrupt mask failures                                   0
2b-fresh usb-bot/fs/replug            PASS      zero commands the engine gave up on                            0
2b-fresh usb-bot/fs/replug            PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 6 == 6
2b-fresh usb-bot/fs/replug            PASS      advance endpoints opened >= 1                                  +2
2b-fresh usb-uas/fs                   NODRIVER  advance devices addressed                                      +1
2b-fresh usb-uas/fs                   NODRIVER  advance slots enabled                                          +1
2b-fresh usb-uas/fs                   NODRIVER  zero fatal controller status                                   0
2b-fresh usb-uas/fs                   NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh usb-uas/fs                   NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-uas/fs                   NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh usb-uas/fs                   NODRIVER  zero interrupt mask failures                                   0
2b-fresh usb-uas/fs                   NODRIVER  zero commands the engine gave up on                            0
2b-fresh usb-uas/fs                   NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh usb-uas/fs                   -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh usb-uas/fs/replug            NODRIVER  advance devices addressed                                      +1
2b-fresh usb-uas/fs/replug            NODRIVER  advance slots enabled                                          +1
2b-fresh usb-uas/fs/replug            NODRIVER  zero fatal controller status                                   0
